facility_ID,subtype_code,lat,lon,equipment_groups,ScreenFreq,OGI_RS,Scenario1_RS,Scenario2_RS,Scenario3_RS,Scenario4_RS,AltFemp_Scenario1_RS,AltFemp_Scenario2_RS,AltFemp_Scenario3_RS,AltFemp_Scenario4_RS,MGLScenario1_RS,MGLScenario2_RS,MGLScenario3_RS,MGLScenario4_RS,OperatingStatus
41815,311,50.0737,-112.719,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41617,311,50.073876,-112.851547,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41001,351,50.074286,-113.554913,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41767,311,50.074477,-112.870068,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41676,322,50.07562,-112.826614,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
52013,322,50.075924,-111.863127,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
52090,501,50.075924,-111.863243,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53432,322,50.076152,-110.671622,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53557,501,50.076152,-110.670729,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41965,351,50.0762,-112.592,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41852,311,50.0764,-112.909,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41874,311,50.076405,-112.91716,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41511,311,50.076428,-112.896737,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41734,311,50.076431,-112.894436,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41562,311,50.076451,-112.887154,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41818,311,50.076464,-112.864476,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41722,311,50.0765,-112.837,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41873,311,50.076513,-112.861779,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41646,311,50.076532,-112.848927,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41964,321,50.0766,-112.874,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41696,311,50.077599,-112.896579,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
42027,311,50.0776,-112.859,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41620,501,50.07781,-112.832398,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50327,311,50.078,-112.415,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50367,311,50.078,-112.417,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41715,311,50.0781,-112.847,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
4300,311,50.078379,-112.533036,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41823,311,50.078717,-112.943009,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41571,311,50.079,-112.93,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41705,311,50.079474,-112.91718,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
42003,501,50.079892,-112.954043,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41772,311,50.079947,-112.91327,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
5927,311,50.080217,-111.927943,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50183,311,50.0803,-112.426,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41592,311,50.0805,-112.971,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53705,363,50.080651,-110.420353,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53855,601,50.080651,-110.420353,1,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
54013,621,50.080651,-110.420353,3,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
41794,311,50.0809,-112.927,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41921,311,50.0811,-112.946,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50051,351,50.081514,-112.358287,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41656,311,50.0818,-113.004,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41640,621,50.081956,-112.543963,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41817,322,50.081956,-112.543963,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41968,501,50.081956,-112.543963,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41526,351,50.082006,-112.537823,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41829,311,50.082084,-112.990916,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41821,311,50.0827,-112.98,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49986,311,50.0829,-112.382526,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50308,351,50.083,-112.439,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53825,363,50.083335,-110.049241,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41740,351,50.083362,-112.553218,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51944,321,50.083371,-111.586281,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6239,311,50.08341,-111.598517,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50416,351,50.083496,-112.498946,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51004,351,50.083594,-112.143772,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41534,311,50.0836,-112.996,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41645,351,50.0837,-112.957,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41909,311,50.0837,-112.957,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41793,351,50.083755,-112.553218,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41758,311,50.0838,-112.942,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
42029,311,50.0838,-112.974,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6007,311,50.084023,-112.045571,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
53703,601,50.084069,-110.607205,1,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
41674,351,50.0846,-112.54,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41659,311,50.0848,-112.961,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53646,601,50.084821,-110.119293,4,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
53823,363,50.084821,-110.119293,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
